requirement_id,user_requirement,extracted_features,task_plan,expected_code_type,expected_test_cases,domain
REQ-001,"Create a student attendance management system with login and reports.","login; attendance marking; student records; reports","authentication; attendance module; reporting dashboard; export reports","Python Streamlit CRUD dashboard","login validation; attendance save; report generation","Education"
REQ-002,"Build an online library management system with book issue and return.","book catalog; member records; issue books; return books; overdue tracking","catalog module; member module; circulation workflow; overdue report","Python CRUD application","issue available book; return issued book; overdue calculation","Library"
REQ-003,"Create an expense tracker with category-wise monthly reports.","expense entry; categories; monthly reports; charts","expense form; category manager; analytics module; monthly summary","Python data dashboard","add expense; category totals; monthly filter","Finance"
REQ-004,"Build a hospital appointment booking system.","doctor listing; patient details; appointment slots; booking confirmation","patient module; doctor schedule; appointment workflow; confirmation view","Python appointment scheduler","book available slot; prevent duplicate slot; confirmation output","Healthcare"
REQ-005,"Create an e-commerce product management dashboard.","product CRUD; inventory; category filters; sales summary","product module; inventory tracking; dashboard analytics; category filters","Python admin dashboard","create product; update stock; filter category; sales summary","E-Commerce"
REQ-006,"Build a college fee management system with receipt generation and due fee reports.","student profile; fee payment; receipt; dues report","student module; fee transaction module; receipt export; due analytics","Python finance dashboard","record payment; generate receipt; due balance calculation","Education"
REQ-007,"Create an employee leave management portal with manager approval.","employee login; leave request; approval workflow; balance tracking","employee module; request workflow; approval panel; leave balance report","Python workflow application","submit leave; approve request; reject request; update balance","Human Resources"
REQ-008,"Build a restaurant table reservation system with time slots and booking status.","table listing; time slots; customer booking; status tracking","table module; booking workflow; status dashboard; conflict prevention","Python reservation app","book table; prevent double booking; cancel reservation","Hospitality"
REQ-009,"Create a customer support ticket tracking system with priority and status updates.","ticket creation; priority; status; agent assignment","ticket module; assignment workflow; priority queue; status report","Python helpdesk dashboard","create ticket; update status; filter priority","Customer Support"
REQ-010,"Build a real estate property listing system with search filters and inquiry form.","property listing; search filters; inquiry form; admin management","listing module; filter engine; inquiry workflow; admin dashboard","Python listing portal","add property; filter by location; submit inquiry","Real Estate"
REQ-011,"Create a gym membership management system with plans and renewal alerts.","member profile; plan selection; renewal date; alerts","member module; plan module; renewal tracker; notification report","Python membership dashboard","add member; assign plan; renewal alert","Fitness"
REQ-012,"Build an online quiz system with objective questions and score calculation.","question bank; quiz attempt; scoring; result report","question module; quiz engine; scoring logic; result dashboard","Python quiz app","attempt quiz; calculate score; show result","Education"
REQ-013,"Create a blood bank donor management system with blood group search.","donor profile; blood group; availability; request tracking","donor module; blood search; request workflow; availability report","Python healthcare dashboard","add donor; search blood group; update availability","Healthcare"
REQ-014,"Build a vehicle service booking system with service history and invoices.","customer vehicle; service slot; history; invoice","vehicle module; booking workflow; service record; invoice report","Python service scheduler","book service; add history; generate invoice","Automobile"
REQ-015,"Create a hostel room allocation system with student details and vacant room report.","student details; room allocation; occupancy; vacancy report","student module; room module; allocation workflow; vacancy dashboard","Python allocation system","allocate room; prevent over-allocation; vacancy report","Hostel"
REQ-016,"Build a project task tracker with team assignment and deadline alerts.","task creation; team member; deadlines; progress status","task module; team assignment; deadline tracker; progress report","Python project dashboard","create task; assign member; overdue alert","Project Management"
REQ-017,"Create an inventory purchase order system with supplier records and stock updates.","supplier records; purchase order; stock update; order status","supplier module; purchase order workflow; inventory update; status report","Python inventory app","create purchase order; receive stock; update inventory","Inventory"
REQ-018,"Build a clinic prescription management system with patient history.","patient profile; prescription; medicine list; visit history","patient module; prescription module; history view; print summary","Python medical records app","add prescription; view history; search patient","Healthcare"
REQ-019,"Create an event registration system with attendee list and QR confirmation.","event listing; registration form; attendee list; QR confirmation","event module; registration workflow; attendee dashboard; confirmation export","Python event portal","register attendee; duplicate email check; confirmation output","Events"
REQ-020,"Build a sales CRM dashboard with leads, follow-ups, and conversion report.","lead records; follow-up dates; status pipeline; conversion report","lead module; follow-up tracker; pipeline dashboard; analytics report","Python CRM dashboard","create lead; update status; conversion summary","Sales"
REQ-021,"Create a parking slot booking system with vehicle number and availability status.","slot listing; vehicle number; booking time; availability","slot module; booking workflow; availability tracker; receipt output","Python booking app","book slot; prevent duplicate slot; release slot","Transport"
REQ-022,"Build a travel package management system with itinerary and booking inquiry.","package listing; itinerary; customer inquiry; package filters","package module; itinerary editor; inquiry workflow; filter dashboard","Python travel portal","add package; filter destination; submit inquiry","Travel"
REQ-023,"Create a donation management system with donor records and monthly reports.","donor profile; donation amount; category; monthly report","donor module; donation entry; category analytics; monthly summary","Python nonprofit dashboard","record donation; category totals; monthly report","Nonprofit"
REQ-024,"Build a courier tracking system with parcel status and delivery updates.","parcel booking; tracking number; status updates; delivery report","parcel module; tracking workflow; status dashboard; delivery report","Python logistics dashboard","create parcel; update status; track parcel","Logistics"
REQ-025,"Create a complaint management system with department routing and resolution status.","complaint form; department routing; status tracking; resolution notes","complaint module; routing workflow; status dashboard; resolution report","Python governance portal","submit complaint; route department; close complaint","Governance"
